,,,,,,TOTAL,,,,,,,BOWL,,BAY 5,,ICEBERG,,FORT,,SKYBRIDGE,
TEAM,K,D,A,KD,KPR,RP,RW,RL,RD,GW,GL,GWR%,A,D,A,D,A,D,A,D,A,D
SICARIO ACADEMY EU,100,150,35,0.67,2.70,37,13,24,-11,1,2,33%,31%,64%,null,null,13%,0%,null,0%,null,null
DECODED,261,229,103,1.14,3.68,71,42,29,13,4,2,67%,71%,50%,100%,75%,30%,77%,36%,77%,null,null
WOO CLAN,74,94,25,0.79,2.96,25,11,14,-3,1,1,50%,null,null,33%,13%,null,null,50%,null,null,null
PANDARIC APEX,419,328,152,1.28,3.88,108,68,40,28,7,1,88%,25%,25%,69%,78%,40%,88%,71%,88%,63%,50%
INFERNAL SOLDIERS,142,145,54,0.98,3.46,41,20,21,-1,1,2,33%,14%,63%,40%,63%,null,null,null,null,null,null
OUTCASTS,158,205,68,0.77,3.16,50,19,31,-12,1,3,25%,null,null,29%,58%,null,null,17%,null,null,null
ONLY NOMAD,65,100,24,0.65,2.71,24,6,18,-12,0,2,0%,null,null,15%,36%,null,null,null,null,null,null
PANDARIC ACADEMY,83,107,33,0.78,3.19,26,8,18,-10,0,2,0%,29%,33%,null,null,null,null,null,null,null,null
K3,243,241,112,1.01,3.33,73,38,35,3,3,3,50%,67%,53%,29%,63%,null,null,null,null,25%,0%
ONLY FOR FRAGS,174,189,75,0.92,3.48,50,24,26,-2,2,2,50%,75%,75%,null,null,50%,83%,13%,83%,null,null
SYNERGY,85,118,29,0.72,3.15,27,9,18,-9,0,2,0%,null,null,38%,20%,17%,50%,null,50%,null,null
SURGE,157,160,47,0.98,3.34,47,21,26,-5,1,2,33%,null,null,47%,61%,null,null,null,null,13%,0%
OUTCASTS.EPA,329,274,127,1.20,3.87,85,50,35,15,4,2,67%,50%,56%,null,null,null,null,56%,null,80%,63%
PULSE,109,168,37,0.65,2.42,45,16,29,-13,1,2,33%,0%,13%,40%,64%,null,null,13%,null,null,null
XP ACADEMY,101,52,28,1.94,4.39,23,18,5,13,2,0,100%,null,null,63%,100%,null,null,null,null,100%,75%
JUMBO TEAM,116,108,58,1.07,3.87,30,16,14,2,1,1,50%,63%,67%,null,null,null,null,null,null,63%,25%
VIRTUS.PRO,106,84,41,1.26,3.79,28,18,10,8,2,0,100%,null,null,29%,88%,null,null,63%,null,null,null
SICARIO EU,82,107,43,0.77,2.93,28,10,18,-8,0,2,0%,null,null,13%,71%,null,null,20%,null,null,null
TARKOVHELP,103,88,40,1.17,3.68,28,16,12,4,1,1,50%,75%,75%,null,null,null,null,null,null,50%,38%